r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=23}, r2:{min=20, max=31}, r:{min:20, max:23}
r1:{min=19, max=23}, r2:{min=20, max=31}, r:{min:20, max:23}
r1:{min=19, max=23}, r2:{min=20, max=31}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=15, max=31}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=15, max=31}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=15, max=31}, r:{min:20, max:23}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=9, max=13}, r2:{min=5, max=12}, r:{min:9, max:12}
r1:{min=19, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=19, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=19, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=19, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=19, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=19, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=20, max=23}, r2:{min=20, max=26}, r:{min:20, max:23}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=38}, r2:{min=35, max=44}, r:{min:35, max:38}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=24}, r2:{min=20, max=31}, r:{min:20, max:24}
r1:{min=19, max=24}, r2:{min=20, max=31}, r:{min:20, max:24}
r1:{min=19, max=24}, r2:{min=20, max=31}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=15, max=31}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=15, max=31}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=15, max=31}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=8, max=13}, r2:{min=5, max=12}, r:{min:8, max:12}
r1:{min=19, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=19, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=19, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=19, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=19, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=19, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=39}, r2:{min=35, max=44}, r:{min:35, max:39}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=25}, r2:{min=20, max=31}, r:{min:20, max:25}
r1:{min=19, max=25}, r2:{min=20, max=31}, r:{min:20, max:25}
r1:{min=19, max=25}, r2:{min=20, max=31}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=15, max=31}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=15, max=31}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=15, max=31}, r:{min:20, max:25}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=7, max=13}, r2:{min=5, max=12}, r:{min:7, max:12}
r1:{min=19, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=19, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=19, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=19, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=19, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=19, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=20, max=25}, r2:{min=20, max=26}, r:{min:20, max:25}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=40}, r2:{min=35, max=44}, r:{min:35, max:40}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=26}, r2:{min=20, max=31}, r:{min:20, max:26}
r1:{min=19, max=26}, r2:{min=20, max=31}, r:{min:20, max:26}
r1:{min=19, max=26}, r2:{min=20, max=31}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=15, max=31}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=15, max=31}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=15, max=31}, r:{min:20, max:26}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=6, max=13}, r2:{min=5, max=12}, r:{min:6, max:12}
r1:{min=19, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
